
===========================================================================
HoloNet TEST INFERENCE
===========================================================================
Device:              cuda
Model:               best_model_fft_final.pth
Patch size:          256
Patches/image:      64

Training Z normalization:
  Z mean = 30.59822877
  Z std  = 21.75293980

Number of test images: 5653
Model loaded successfully.

Image | Z_GT | Z_pred | Abs Error | Time(s)
76253.tiff | 36.325 | 24.589 | 11.736 | 0.0330
71018.tiff | 27.043 | 26.505 | 0.538 | 0.0330
67378.tiff | 1.842 | 3.629 | 1.787 | 0.0330
76108.tiff | 28.791 | 22.422 | 6.369 | 0.0330
73860.tiff | 13.669 | 11.970 | 1.699 | 0.0330
69218.tiff | 20.905 | 19.161 | 1.744 | 0.0330
69191.tiff | 22.957 | 20.965 | 1.992 | 0.0330
71661.tiff | 4.729 | 3.812 | 0.917 | 0.0330
66286.tiff | 53.278 | 55.403 | 2.125 | 0.0330
73140.tiff | 44.829 | 44.490 | 0.339 | 0.0330
68995.tiff | 16.564 | 15.131 | 1.433 | 0.0330
67847.tiff | 33.411 | 39.814 | 6.402 | 0.0330
69803.tiff | 23.303 | 23.018 | 0.285 | 0.0330
74239.tiff | 24.820 | 21.274 | 3.546 | 0.0330
67907.tiff | 38.047 | 44.088 | 6.040 | 0.0330
72827.tiff | 19.706 | 19.349 | 0.357 | 0.0330
66985.tiff | 8.109 | 6.424 | 1.685 | 0.0330
65252.tiff | 0.889 | 2.636 | 1.747 | 0.0330
69588.tiff | 6.824 | 7.599 | 0.775 | 0.0330
73016.tiff | 35.361 | 36.519 | 1.158 | 0.0330
71132.tiff | 36.123 | 37.860 | 1.736 | 0.0330
73035.tiff | 36.972 | 38.141 | 1.169 | 0.0330
68583.tiff | 17.948 | 17.104 | 0.844 | 0.0330
75663.tiff | 5.706 | 10.292 | 4.586 | 0.0330
65108.tiff | 6.154 | 8.648 | 2.493 | 0.0330
66745.tiff | 15.096 | 14.263 | 0.833 | 0.0330
65674.tiff | 30.279 | 29.782 | 0.496 | 0.0330
65305.tiff | 3.128 | 4.630 | 1.502 | 0.0330
74909.tiff | 31.483 | 38.991 | 7.507 | 0.0330
71922.tiff | 23.586 | 27.187 | 3.601 | 0.0330
68547.tiff | 20.930 | 20.584 | 0.346 | 0.0330
73236.tiff | 37.421 | 39.495 | 2.073 | 0.0330
71932.tiff | 24.313 | 27.826 | 3.513 | 0.0330
66573.tiff | 29.656 | 28.975 | 0.682 | 0.0330
73171.tiff | 42.458 | 43.542 | 1.084 | 0.0330
70426.tiff | 23.605 | 26.027 | 2.423 | 0.0330
68953.tiff | 12.631 | 15.510 | 2.879 | 0.0330
67109.tiff | 18.493 | 16.083 | 2.411 | 0.0330
74013.tiff | 25.388 | 22.772 | 2.616 | 0.0330
75945.tiff | 16.067 | 10.075 | 5.992 | 0.0330
65219.tiff | 3.712 | 3.359 | 0.354 | 0.0330
67486.tiff | 6.437 | 7.943 | 1.506 | 0.0330
69120.tiff | 26.631 | 23.978 | 2.653 | 0.0330
73849.tiff | 12.823 | 11.069 | 1.754 | 0.0330
70363.tiff | 28.548 | 32.142 | 3.595 | 0.0330
73989.tiff | 23.510 | 21.025 | 2.485 | 0.0330
67246.tiff | 11.945 | 11.361 | 0.584 | 0.0330
76031.tiff | 22.703 | 16.265 | 6.437 | 0.0330
67168.tiff | 17.851 | 15.882 | 1.968 | 0.0330
75934.tiff | 15.226 | 9.254 | 5.971 | 0.0330
65563.tiff | 21.872 | 21.647 | 0.225 | 0.0330
69950.tiff | 34.536 | 35.586 | 1.050 | 0.0330
66702.tiff | 18.831 | 17.438 | 1.394 | 0.0330
70609.tiff | 8.493 | 9.684 | 1.191 | 0.0330
67155.tiff | 18.898 | 16.319 | 2.579 | 0.0330
76174.tiff | 31.996 | 69.048 | 37.052 | 0.0330
66403.tiff | 43.791 | 46.440 | 2.649 | 0.0330
68289.tiff | 41.999 | 46.585 | 4.586 | 0.0330
69844.tiff | 26.373 | 26.347 | 0.027 | 0.0330
71316.tiff | 21.945 | 22.831 | 0.887 | 0.0330
73515.tiff | 13.320 | 14.269 | 0.949 | 0.0330
75145.tiff | 46.404 | 44.878 | 1.526 | 0.0330
71783.tiff | 12.528 | 16.396 | 3.868 | 0.0330
72266.tiff | 26.936 | 29.358 | 2.421 | 0.0330
72045.tiff | 32.981 | 36.598 | 3.617 | 0.0330
68434.tiff | 30.430 | 31.239 | 0.810 | 0.0330
75820.tiff | 6.404 | 3.509 | 2.894 | 0.0330
72650.tiff | 5.042 | 5.376 | 0.334 | 0.0330
68239.tiff | 46.154 | 50.831 | 4.677 | 0.0330
73883.tiff | 15.436 | 13.515 | 1.921 | 0.0331
70969.tiff | 22.963 | 22.651 | 0.312 | 0.0330
66513.tiff | 34.620 | 35.718 | 1.099 | 0.0330
75108.tiff | 46.585 | 45.173 | 1.412 | 0.0330
76138.tiff | 31.298 | 34.970 | 3.672 | 0.0330
67086.tiff | 16.558 | 14.531 | 2.027 | 0.0330
65762.tiff | 36.889 | 38.371 | 1.482 | 0.0330
73924.tiff | 18.615 | 16.221 | 2.394 | 0.0330
72708.tiff | 9.838 | 10.048 | 0.210 | 0.0330
66759.tiff | 13.921 | 13.011 | 0.910 | 0.0330
70837.tiff | 11.944 | 12.035 | 0.092 | 0.0330
72056.tiff | 33.820 | 37.476 | 3.655 | 0.0330
71792.tiff | 13.158 | 16.848 | 3.689 | 0.0330
67837.tiff | 32.600 | 38.700 | 6.100 | 0.0330
70507.tiff | 16.955 | 18.295 | 1.339 | 0.0330
68563.tiff | 19.553 | 19.060 | 0.493 | 0.0330
76100.tiff | 28.128 | 21.646 | 6.482 | 0.0330
69467.tiff | 1.896 | 3.795 | 1.900 | 0.0330
74086.tiff | 31.074 | 28.111 | 2.963 | 0.0330
65909.tiff | 48.035 | 49.618 | 1.584 | 0.0330
73288.tiff | 33.367 | 35.586 | 2.219 | 0.0330
66982.tiff | 7.826 | 5.999 | 1.827 | 0.0330
71579.tiff | 1.712 | 5.027 | 3.315 | 0.0330
72338.tiff | 20.919 | 22.914 | 1.995 | 0.0330
74799.tiff | 22.362 | 27.265 | 4.903 | 0.0330
68326.tiff | 39.406 | 41.973 | 2.567 | 0.0330
70215.tiff | 41.491 | 41.118 | 0.373 | 0.0330
70130.tiff | 48.409 | 48.589 | 0.180 | 0.0330
69755.tiff | 19.569 | 19.190 | 0.378 | 0.0330
76019.tiff | 21.803 | 15.420 | 6.383 | 0.0330
72437.tiff | 12.672 | 14.350 | 1.679 | 0.0330
75873.tiff | 10.496 | 5.672 | 4.824 | 0.0330
74738.tiff | 17.329 | 22.191 | 4.862 | 0.0330
75583.tiff | 11.791 | 15.750 | 3.959 | 0.0330
71187.tiff | 31.833 | 32.308 | 0.475 | 0.0330
67749.tiff | 25.926 | 30.794 | 4.868 | 0.0330
65593.tiff | 24.143 | 23.860 | 0.283 | 0.0330
75589.tiff | 11.378 | 15.331 | 3.953 | 0.0330
66492.tiff | 36.405 | 38.118 | 1.713 | 0.0330
67692.tiff | 21.215 | 25.468 | 4.253 | 0.0330
66512.tiff | 34.767 | 35.664 | 0.897 | 0.0330
71809.tiff | 14.424 | 17.948 | 3.525 | 0.0330
65609.tiff | 25.311 | 25.265 | 0.045 | 0.0330
73401.tiff | 22.129 | 21.723 | 0.407 | 0.0330
73819.tiff | 10.511 | 9.018 | 1.492 | 0.0330
69635.tiff | 10.396 | 10.609 | 0.214 | 0.0330
73132.tiff | 45.479 | 44.746 | 0.732 | 0.0330
73861.tiff | 13.744 | 11.925 | 1.820 | 0.0330
73618.tiff | 5.000 | 6.436 | 1.436 | 0.0330
72689.tiff | 8.234 | 8.313 | 0.079 | 0.0330
73573.tiff | 8.496 | 9.854 | 1.358 | 0.0330
69076.tiff | 23.242 | 20.614 | 2.628 | 0.0330
71401.tiff | 15.430 | 17.215 | 1.785 | 0.0330
66942.tiff | 4.414 | 3.693 | 0.721 | 0.0330
72372.tiff | 18.068 | 19.900 | 1.832 | 0.0330
69170.tiff | 24.587 | 22.384 | 2.203 | 0.0330
69562.tiff | 4.838 | 5.916 | 1.077 | 0.0330
67426.tiff | 1.824 | 4.454 | 2.631 | 0.0330
73797.tiff | 8.862 | 7.440 | 1.422 | 0.0330
69128.tiff | 27.317 | 24.442 | 2.875 | 0.0330
72837.tiff | 20.482 | 20.183 | 0.299 | 0.0330
70966.tiff | 22.729 | 22.378 | 0.351 | 0.0330
68099.tiff | 52.588 | 57.778 | 5.189 | 0.0330
68459.tiff | 28.279 | 28.655 | 0.376 | 0.0330
75043.tiff | 41.257 | 42.794 | 1.537 | 0.0330
66767.tiff | 13.278 | 12.257 | 1.021 | 0.0330
76251.tiff | 36.438 | 24.750 | 11.688 | 0.0330
69554.tiff | 4.203 | 5.490 | 1.288 | 0.0330
72772.tiff | 15.118 | 15.340 | 0.223 | 0.0330
72149.tiff | 36.629 | 40.040 | 3.411 | 0.0330
74769.tiff | 19.825 | 24.312 | 4.487 | 0.0330
71640.tiff | 3.056 | 3.256 | 0.201 | 0.0330
73010.tiff | 34.882 | 36.098 | 1.216 | 0.0330
69922.tiff | 32.390 | 33.500 | 1.110 | 0.0330
70681.tiff | 2.450 | 4.596 | 2.146 | 0.0330
76218.tiff | 32.008 | 69.099 | 37.091 | 0.0330
68861.tiff | 5.245 | 7.566 | 2.321 | 0.0330
72337.tiff | 20.990 | 23.053 | 2.063 | 0.0330
68060.tiff | 49.650 | 55.122 | 5.472 | 0.0330
69824.tiff | 24.859 | 24.598 | 0.261 | 0.0330
68048.tiff | 48.747 | 54.235 | 5.488 | 0.0330
72243.tiff | 28.884 | 31.099 | 2.215 | 0.0330
72300.tiff | 24.103 | 26.300 | 2.197 | 0.0330
72526.tiff | 5.294 | 6.430 | 1.136 | 0.0330
70408.tiff | 24.836 | 27.191 | 2.355 | 0.0330
71826.tiff | 15.777 | 19.717 | 3.939 | 0.0330
68593.tiff | 17.085 | 16.272 | 0.813 | 0.0330
69962.tiff | 35.468 | 36.459 | 0.991 | 0.0330
71150.tiff | 34.703 | 35.647 | 0.944 | 0.0330
72444.tiff | 12.064 | 13.652 | 1.588 | 0.0330
74314.tiff | 18.621 | 14.831 | 3.790 | 0.0330
72581.tiff | 0.762 | 3.439 | 2.677 | 0.0330
67391.tiff | 0.853 | 3.647 | 2.795 | 0.0330
65034.tiff | 0.189 | 3.449 | 3.260 | 0.0330
72626.tiff | 2.983 | 3.947 | 0.964 | 0.0330
75062.tiff | 42.833 | 43.774 | 0.942 | 0.0330
68038.tiff | 48.016 | 53.532 | 5.517 | 0.0330
70949.tiff | 21.262 | 21.227 | 0.035 | 0.0330
65120.tiff | 7.156 | 9.262 | 2.106 | 0.0330
72615.tiff | 2.096 | 3.621 | 1.525 | 0.0330
65322.tiff | 4.455 | 5.670 | 1.215 | 0.0330
66784.tiff | 11.823 | 11.148 | 0.676 | 0.0330
68892.tiff | 7.781 | 10.331 | 2.550 | 0.0330
70170.tiff | 45.152 | 45.426 | 0.274 | 0.0330
68188.tiff | 50.455 | 55.453 | 4.999 | 0.0330
73664.tiff | 1.441 | 4.058 | 2.617 | 0.0330
66693.tiff | 19.518 | 18.356 | 1.162 | 0.0330
75417.tiff | 25.478 | 28.541 | 3.063 | 0.0330
74276.tiff | 21.743 | 18.135 | 3.608 | 0.0330
74307.tiff | 19.155 | 15.302 | 3.853 | 0.0330
66214.tiff | 58.613 | 59.062 | 0.448 | 0.0330
72457.tiff | 11.018 | 12.493 | 1.475 | 0.0330
74746.tiff | 17.995 | 22.722 | 4.727 | 0.0330
72950.tiff | 29.906 | 30.321 | 0.416 | 0.0330
70466.tiff | 20.384 | 22.297 | 1.913 | 0.0330
73373.tiff | 24.303 | 23.508 | 0.795 | 0.0330
72877.tiff | 23.787 | 23.412 | 0.375 | 0.0330
66670.tiff | 21.451 | 20.343 | 1.109 | 0.0330
65150.tiff | 7.240 | 9.593 | 2.353 | 0.0330
67914.tiff | 38.530 | 44.667 | 6.137 | 0.0330
67911.tiff | 38.258 | 44.349 | 6.091 | 0.0330
66419.tiff | 42.496 | 45.030 | 2.534 | 0.0330
73217.tiff | 38.868 | 40.172 | 1.304 | 0.0330
69902.tiff | 30.821 | 31.555 | 0.734 | 0.0330
75463.tiff | 21.129 | 24.321 | 3.192 | 0.0330
74355.tiff | 14.586 | 10.894 | 3.692 | 0.0330
73523.tiff | 12.726 | 13.753 | 1.027 | 0.0330
70786.tiff | 6.754 | 6.770 | 0.016 | 0.0330
68528.tiff | 22.443 | 22.057 | 0.386 | 0.0330
73757.tiff | 5.750 | 4.753 | 0.997 | 0.0330
70612.tiff | 8.261 | 9.498 | 1.237 | 0.0330
74848.tiff | 26.426 | 32.858 | 6.431 | 0.0330
76093.tiff | 27.576 | 21.005 | 6.571 | 0.0330
74178.tiff | 29.887 | 26.829 | 3.058 | 0.0330
70145.tiff | 47.246 | 47.547 | 0.301 | 0.0330
68777.tiff | 1.777 | 3.702 | 1.925 | 0.0330
69203.tiff | 22.025 | 20.243 | 1.781 | 0.0330
66480.tiff | 37.455 | 39.031 | 1.576 | 0.0330
72342.tiff | 20.595 | 22.673 | 2.077 | 0.0330
68990.tiff | 16.176 | 14.701 | 1.475 | 0.0330
66567.tiff | 30.102 | 29.529 | 0.573 | 0.0330
65884.tiff | 46.145 | 47.944 | 1.800 | 0.0330
66905.tiff | 1.314 | 3.725 | 2.410 | 0.0330
69996.tiff | 38.088 | 38.739 | 0.651 | 0.0330
75368.tiff | 28.768 | 32.485 | 3.717 | 0.0330
70698.tiff | 1.057 | 3.880 | 2.823 | 0.0330
65347.tiff | 6.318 | 7.295 | 0.977 | 0.0330
73639.tiff | 3.388 | 5.239 | 1.852 | 0.0330
65669.tiff | 29.887 | 29.655 | 0.232 | 0.0330
73374.tiff | 24.174 | 23.606 | 0.568 | 0.0330
73325.tiff | 30.437 | 32.586 | 2.150 | 0.0330
72038.tiff | 32.436 | 36.111 | 3.676 | 0.0330
65544.tiff | 20.447 | 20.396 | 0.051 | 0.0330
69004.tiff | 17.341 | 15.514 | 1.827 | 0.0330
72812.tiff | 18.439 | 18.401 | 0.038 | 0.0330
71046.tiff | 29.344 | 28.558 | 0.787 | 0.0330
72679.tiff | 7.432 | 7.698 | 0.265 | 0.0330
65748.tiff | 35.902 | 37.118 | 1.216 | 0.0330
69490.tiff | 0.143 | 3.786 | 3.643 | 0.0330
65933.tiff | 49.885 | 51.426 | 1.541 | 0.0330
74347.tiff | 15.778 | 12.079 | 3.699 | 0.0330
69027.tiff | 19.265 | 17.336 | 1.930 | 0.0330
74397.tiff | 10.877 | 7.221 | 3.656 | 0.0330
65399.tiff | 10.306 | 11.307 | 1.001 | 0.0330
69975.tiff | 36.479 | 37.431 | 0.952 | 0.0330
73963.tiff | 21.548 | 18.982 | 2.566 | 0.0330
68245.tiff | 45.697 | 50.185 | 4.488 | 0.0330
72654.tiff | 5.406 | 5.563 | 0.157 | 0.0330
69620.tiff | 9.272 | 9.741 | 0.469 | 0.0330
76265.tiff | 38.586 | 24.817 | 13.769 | 0.0330
65380.tiff | 8.810 | 9.797 | 0.987 | 0.0330
74485.tiff | 3.634 | 3.354 | 0.280 | 0.0330
66054.tiff | 59.185 | 60.186 | 1.001 | 0.0330
71954.tiff | 25.980 | 29.585 | 3.604 | 0.0330
69280.tiff | 16.125 | 15.531 | 0.594 | 0.0330
75390.tiff | 27.012 | 30.033 | 3.021 | 0.0330
65709.tiff | 32.858 | 33.453 | 0.595 | 0.0330
69903.tiff | 30.922 | 31.494 | 0.572 | 0.0330
66892.tiff | 0.264 | 4.223 | 3.959 | 0.0330
65215.tiff | 4.025 | 3.454 | 0.571 | 0.0330
70715.tiff | 0.383 | 3.558 | 3.175 | 0.0330
71128.tiff | 36.180 | 38.099 | 1.918 | 0.0330
65042.tiff | 0.595 | 3.830 | 3.235 | 0.0330
66435.tiff | 41.190 | 43.844 | 2.655 | 0.0330
65534.tiff | 19.737 | 19.921 | 0.185 | 0.0330
71144.tiff | 35.171 | 35.925 | 0.754 | 0.0330
66627.tiff | 25.052 | 23.835 | 1.217 | 0.0330
71166.tiff | 33.560 | 34.459 | 0.899 | 0.0330
72387.tiff | 16.791 | 18.352 | 1.560 | 0.0330
72873.tiff | 23.460 | 23.097 | 0.363 | 0.0330
74331.tiff | 17.153 | 13.524 | 3.629 | 0.0330
74484.tiff | 3.722 | 3.216 | 0.506 | 0.0330
70166.tiff | 45.458 | 45.724 | 0.266 | 0.0330
73363.tiff | 25.057 | 24.393 | 0.663 | 0.0330
68081.tiff | 51.217 | 56.614 | 5.397 | 0.0330
66209.tiff | 59.022 | 59.608 | 0.587 | 0.0330
70590.tiff | 10.126 | 11.566 | 1.440 | 0.0330
71299.tiff | 23.241 | 23.883 | 0.642 | 0.0330
70769.tiff | 4.849 | 5.167 | 0.318 | 0.0330
66684.tiff | 20.264 | 18.932 | 1.333 | 0.0330
71845.tiff | 17.273 | 21.128 | 3.854 | 0.0330
68886.tiff | 7.365 | 9.825 | 2.461 | 0.0330
69084.tiff | 23.938 | 21.477 | 2.461 | 0.0330
69615.tiff | 8.915 | 9.290 | 0.376 | 0.0330
66414.tiff | 42.889 | 45.545 | 2.656 | 0.0330
68313.tiff | 40.507 | 43.044 | 2.537 | 0.0330
70251.tiff | 37.848 | 41.916 | 4.068 | 0.0330
68317.tiff | 40.182 | 42.807 | 2.624 | 0.0330
69302.tiff | 14.478 | 14.214 | 0.264 | 0.0330
71682.tiff | 6.351 | 4.411 | 1.941 | 0.0330
65765.tiff | 37.112 | 38.492 | 1.380 | 0.0330
72546.tiff | 3.663 | 4.875 | 1.212 | 0.0330
71735.tiff | 9.331 | 6.638 | 2.693 | 0.0330
71074.tiff | 31.745 | 31.938 | 0.192 | 0.0330
66719.tiff | 17.307 | 16.282 | 1.026 | 0.0330
65136.tiff | 8.279 | 10.209 | 1.930 | 0.0330
69141.tiff | 26.788 | 24.251 | 2.537 | 0.0330
73026.tiff | 36.185 | 37.324 | 1.139 | 0.0330
72370.tiff | 18.250 | 20.052 | 1.802 | 0.0330
66394.tiff | 44.622 | 47.436 | 2.814 | 0.0330
67621.tiff | 15.791 | 20.471 | 4.680 | 0.0330
70472.tiff | 19.856 | 21.991 | 2.135 | 0.0330
65319.tiff | 4.233 | 5.383 | 1.149 | 0.0330
66220.tiff | 58.073 | 58.504 | 0.430 | 0.0330
66374.tiff | 45.936 | 48.455 | 2.519 | 0.0330
66397.tiff | 44.360 | 46.914 | 2.553 | 0.0330
73582.tiff | 7.804 | 8.924 | 1.121 | 0.0330
72539.tiff | 4.223 | 5.323 | 1.100 | 0.0331
68920.tiff | 10.122 | 13.020 | 2.898 | 0.0330
69607.tiff | 8.245 | 8.841 | 0.595 | 0.0330
67456.tiff | 4.155 | 6.130 | 1.975 | 0.0330
70852.tiff | 13.147 | 13.454 | 0.307 | 0.0330
71274.tiff | 25.170 | 25.774 | 0.604 | 0.0330
75238.tiff | 39.183 | 42.249 | 3.066 | 0.0330
67596.tiff | 14.870 | 15.446 | 0.576 | 0.0330
68273.tiff | 43.375 | 47.761 | 4.386 | 0.0330
75877.tiff | 10.804 | 5.885 | 4.920 | 0.0330
71720.tiff | 9.200 | 6.472 | 2.728 | 0.0330
73218.tiff | 38.834 | 40.326 | 1.492 | 0.0330
70419.tiff | 23.881 | 26.103 | 2.222 | 0.0330
71762.tiff | 10.843 | 14.752 | 3.908 | 0.0330
74690.tiff | 13.371 | 18.203 | 4.832 | 0.0330
76235.tiff | 33.181 | 25.878 | 7.302 | 0.0330
69846.tiff | 26.577 | 26.595 | 0.018 | 0.0330
76212.tiff | 32.003 | 68.982 | 36.979 | 0.0330
69032.tiff | 19.666 | 17.708 | 1.958 | 0.0330
75376.tiff | 28.143 | 31.522 | 3.379 | 0.0330
69206.tiff | 21.841 | 20.028 | 1.812 | 0.0330
65857.tiff | 44.099 | 46.560 | 2.461 | 0.0330
74028.tiff | 26.533 | 23.519 | 3.014 | 0.0330
73732.tiff | 3.813 | 3.761 | 0.051 | 0.0330
66769.tiff | 13.139 | 12.357 | 0.782 | 0.0330
73695.tiff | 0.969 | 3.459 | 2.489 | 0.0330
74598.tiff | 5.787 | 10.493 | 4.706 | 0.0330
74721.tiff | 15.887 | 20.888 | 5.001 | 0.0330
70984.tiff | 24.201 | 23.668 | 0.533 | 0.0330
65071.tiff | 3.043 | 5.791 | 2.748 | 0.0330
72421.tiff | 14.033 | 15.588 | 1.555 | 0.0330
67523.tiff | 9.271 | 10.631 | 1.360 | 0.0330
67233.tiff | 12.941 | 12.080 | 0.861 | 0.0330
73063.tiff | 39.297 | 40.516 | 1.219 | 0.0330
73205.tiff | 39.818 | 41.330 | 1.513 | 0.0330
67215.tiff | 14.315 | 13.209 | 1.106 | 0.0330
66062.tiff | 59.753 | 60.783 | 1.029 | 0.0330
65361.tiff | 7.440 | 8.594 | 1.154 | 0.0330
74704.tiff | 14.556 | 19.495 | 4.939 | 0.0330
71330.tiff | 20.915 | 22.004 | 1.089 | 0.0330
71233.tiff | 28.319 | 28.660 | 0.342 | 0.0330
75790.tiff | 4.073 | 3.249 | 0.824 | 0.0330
66808.tiff | 9.800 | 8.942 | 0.858 | 0.0330
67338.tiff | 4.908 | 4.721 | 0.188 | 0.0330
74366.tiff | 13.506 | 10.031 | 3.475 | 0.0330
67125.tiff | 19.870 | 17.302 | 2.567 | 0.0330
72319.tiff | 22.517 | 24.564 | 2.047 | 0.0330
73636.tiff | 3.660 | 5.287 | 1.627 | 0.0330
73917.tiff | 18.032 | 15.605 | 2.427 | 0.0330
72112.tiff | 37.068 | 40.438 | 3.370 | 0.0330
67184.tiff | 16.674 | 15.010 | 1.664 | 0.0330
74540.tiff | 0.883 | 5.787 | 4.903 | 0.0330
75326.tiff | 31.972 | 36.506 | 4.534 | 0.0330
73750.tiff | 5.163 | 4.427 | 0.736 | 0.0330
70860.tiff | 13.859 | 14.061 | 0.203 | 0.0330
66158.tiff | 63.280 | 64.023 | 0.743 | 0.0330
72460.tiff | 10.769 | 12.413 | 1.644 | 0.0330
72608.tiff | 1.505 | 3.511 | 2.006 | 0.0330
66656.tiff | 22.641 | 21.247 | 1.394 | 0.0330
68647.tiff | 12.597 | 11.954 | 0.643 | 0.0330
67345.tiff | 4.371 | 4.393 | 0.023 | 0.0330
